Country,Cases,Deaths,Category,Asof
Martinique,7,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Bulgaria,6,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Gibraltar,6,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Latvia,6,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
China,5,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Republic of the Congo,5,0,Has historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Cyprus,5,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Lithuania,5,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Pakistan,5,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Philippines,5,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Qatar,5,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Ukraine,5,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
South Africa,5,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Andorra,4,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Sri Lanka,4,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Aruba,3,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Benin,3,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Curaçao,3,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Egypt,3,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Morocco,3,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Monaco,3,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Bahrain,2,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Bahamas,2,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Georgia,2,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Greenland,2,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Guyana,2,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Moldova,2,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Montenegro,2,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
