Timeline,Year,Cases,7-Day Average,Cumulative Cases,AsOf
3/20/2023,2023,1,1.142857194,30326,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
3/21/2023,2023,3,1.285714269,30329,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
3/22/2023,2023,0,1.285714269,30329,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
3/23/2023,2023,2,1.428571463,30331,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
3/24/2023,2023,5,1.857142806,30336,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
3/25/2023,2023,1,1.857142806,30337,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
3/26/2023,2023,2,2,30339,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
3/27/2023,2023,3,2.285714388,30342,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
3/28/2023,2023,0,1.857142806,30342,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
3/29/2023,2023,2,2.142857075,30344,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
3/30/2023,2023,10,3.285714388,30354,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
3/31/2023,2023,1,2.714285612,30355,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/1/2023,2023,2,2.857142925,30357,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/2/2023,2023,0,2.571428537,30357,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/3/2023,2023,3,2.571428537,30360,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/4/2023,2023,1,2.714285612,30361,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/5/2023,2023,2,2.714285612,30363,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/6/2023,2023,4,1.857142806,30367,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/7/2023,2023,0,1.714285731,30367,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/8/2023,2023,0,1.428571463,30367,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/9/2023,2023,0,1.428571463,30367,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/10/2023,2023,0,1,30367,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/11/2023,2023,0,0.857142866,30367,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/12/2023,2023,3,1,30370,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/13/2023,2023,2,0.714285731,30372,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/14/2023,2023,1,0.857142866,30373,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/15/2023,2023,3,1.285714269,30376,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/16/2023,2023,3,1.714285731,30379,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/17/2023,2023,1,1.857142806,30380,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/18/2023,2023,4,2.428571463,30384,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/19/2023,2023,2,2.285714388,30386,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/20/2023,2023,4,2.571428537,30390,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/21/2023,2023,1,2.571428537,30391,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/22/2023,2023,0,2.142857075,30391,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/23/2023,2023,2,2,30393,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/24/2023,2023,1,2,30394,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/25/2023,2023,1,1.571428537,30395,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/26/2023,2023,0,1.285714269,30395,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/27/2023,2023,1,0.857142866,30396,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/28/2023,2023,1,0.857142866,30397,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/29/2023,2023,2,1.142857194,30399,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
4/30/2023,2023,0,0.857142866,30399,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/1/2023,2023,5,1.428571463,30404,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/2/2023,2023,1,1.428571463,30405,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/3/2023,2023,5,2.142857075,30410,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/4/2023,2023,5,2.714285612,30415,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/5/2023,2023,2,2.857142925,30417,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/6/2023,2023,2,2.857142925,30419,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/7/2023,2023,3,3.285714388,30422,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/8/2023,2023,5,3.285714388,30427,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/9/2023,2023,4,3.714285612,30431,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/10/2023,2023,1,3.142857075,30432,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/11/2023,2023,3,2.857142925,30435,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/12/2023,2023,0,2.571428537,30435,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/13/2023,2023,3,2.714285612,30438,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/14/2023,2023,1,2.428571463,30439,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/15/2023,2023,5,2.428571463,30444,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/16/2023,2023,3,2.285714388,30447,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/17/2023,2023,1,2.285714388,30448,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/18/2023,2023,6,2.714285612,30454,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/19/2023,2023,1,2.857142925,30455,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/20/2023,2023,2,2.714285612,30457,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/21/2023,2023,0,2.571428537,30457,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/22/2023,2023,3,2.285714388,30460,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/23/2023,2023,0,1.857142806,30460,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/24/2023,2023,5,2.428571463,30465,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/25/2023,2023,4,2.142857075,30469,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/26/2023,2023,3,2.428571463,30472,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/27/2023,2023,4,2.714285612,30476,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/28/2023,2023,6,3.571428537,30482,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/29/2023,2023,2,3.428571463,30484,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/30/2023,2023,2,3.714285612,30486,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
5/31/2023,2023,2,3.285714388,30488,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/1/2023,2023,1,2.857142925,30489,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/2/2023,2023,3,2.857142925,30492,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/3/2023,2023,2,2.571428537,30494,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/4/2023,2023,1,1.857142806,30495,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/5/2023,2023,4,2.142857075,30499,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/6/2023,2023,3,2.285714388,30502,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/7/2023,2023,2,2.285714388,30504,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/8/2023,2023,1,2.285714388,30505,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/9/2023,2023,2,2.142857075,30507,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/10/2023,2023,2,2.142857075,30509,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/11/2023,2023,1,2.142857075,30510,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/12/2023,2023,1,1.714285731,30511,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/13/2023,2023,3,1.714285731,30514,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/14/2023,2023,2,1.714285731,30516,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/15/2023,2023,4,2.142857075,30520,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/16/2023,2023,1,2,30521,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/17/2023,2023,0,1.714285731,30521,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/18/2023,2023,1,1.714285731,30522,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/19/2023,2023,1,1.714285731,30523,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/20/2023,2023,2,1.571428537,30525,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/21/2023,2023,1,1.428571463,30526,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/22/2023,2023,1,1,30527,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/23/2023,2023,0,0.857142866,30527,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/24/2023,2023,0,0.857142866,30527,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/25/2023,2023,0,0.714285731,30527,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/26/2023,2023,0,0.571428597,30527,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/27/2023,2023,4,0.857142866,30531,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
6/28/2023,2023,0,0.714285731,30531,Data as Reported to CDC as of 28 Jun 2023 2:00 PM EDT
